time,option_idx,nu,mid_price,trade_dir,trade_price,z_i,vega_i,qty_actual,S_spot
1779235266.409,8,0.0225,2.7969534771275177,1,2.7969534771275177,854931.759346969,1.24739,0.01,62603.83
1779892370.805,16,0.0225,1.6772136784602476,-1,1.6772136784602476,8614258.665513504,0.553724,0.01,62603.83
1779940394.546,16,0.0225,1.589359628636139,-1,1.5174790424164146,8614258.665513504,0.553724,0.01,62603.83
1780069071.203,16,0.0225,1.576838237481806,1,1.5582113746075918,8614258.665513504,0.553724,0.01,62603.83
1780315865.085,8,0.0225,2.787289531646866,-1,2.779382667162696,854931.759346969,1.24739,0.01,62603.83
1780622604.059,8,0.0225,2.35260462180452,-1,1.7059659129481375,854931.759346969,1.24739,0.01,62603.83
1780640661.835,8,0.0225,2.0748366796772215,-1,1.5094923106142228,854931.759346969,1.24739,0.15,62603.83
1780667493.198,4,0.0225,1.5973463604383311,-1,1.5973463604383311,411160.5417451298,0.909136,0.06,62603.83
1780671436.719,4,0.0225,1.9168156325259973,1,1.9168156325259973,411160.5417451298,0.909136,0.35,62603.83
1780671870.899,16,0.0225,1.2512650607561047,-1,0.588622133821525,8614258.665513504,0.553724,0.03,62603.83
1780671870.918,16,0.0225,1.0610382986681224,-1,0.588622133821525,8614258.665513504,0.553724,0.02,62603.83
1780671870.937,16,0.0225,0.9383355025440224,-1,0.588622133821525,8614258.665513504,0.553724,0.01,62603.83
1780671870.956,16,0.0225,0.8540686290057786,-1,0.588622133821525,8614258.665513504,0.553724,0.01,62603.83
1780671870.976,16,0.0225,0.793678272092338,-1,0.588622133821525,8614258.665513504,0.553724,0.08,62603.83
1780671870.996,16,0.0225,0.7490652321938787,-1,0.588622133821525,8614258.665513504,0.553724,0.02,62603.83
1780671871.428,16,0.0225,0.7153631702505424,-1,0.588622133821525,8614258.665513504,0.553724,0.03,62603.83
1780671871.451,16,0.0225,0.6894715610171496,-1,0.588622133821525,8614258.665513504,0.553724,0.02,62603.83
1780671871.472,16,0.0225,0.6693220300383987,-1,0.588622133821525,8614258.665513504,0.553724,0.01,62603.83
1780671871.513,16,0.0225,0.6534831218502865,-1,0.588622133821525,8614258.665513504,0.553724,0.03,62603.83
1780671871.553,16,0.0225,0.6409342489401413,-1,0.588622133821525,8614258.665513504,0.553724,0.03,62603.83
1780671871.576,16,0.0225,0.6309298515394569,-1,0.588622133821525,8614258.665513504,0.553724,0.01,62603.83
1780671871.639,16,0.0225,0.622914294927953,-1,0.588622133821525,8614258.665513504,0.553724,0.37,62603.83
1780671871.658,16,0.0225,0.616466615924856,-1,0.588622133821525,8614258.665513504,0.553724,0.53,62603.83
1780672257.656,4,0.0225,1.9168156325259973,-1,1.9168156325259973,411160.5417451298,0.909136,0.16,62603.83
1780672257.677,4,0.0225,1.9168156325259973,-1,1.9168156325259973,411160.5417451298,0.909136,0.04,62603.83
1780672257.696,4,0.0225,1.9168156325259973,-1,1.9168156325259973,411160.5417451298,0.909136,0.01,62603.83
1780672273.09,4,0.0225,1.9168156325259973,-1,1.9168156325259973,411160.5417451298,0.909136,0.11,62603.83
1780672273.14,4,0.0225,1.9168156325259973,-1,1.9168156325259973,411160.5417451298,0.909136,0.03,62603.83
1780673976.173,4,0.0225,1.9071932248780188,-1,1.876881973515039,411160.5417451298,0.909136,0.09,62603.83
1780673976.242,4,0.0225,1.9002972691147575,-1,1.876881973515039,411160.5417451298,0.909136,0.02,62603.83
1780843369.803,4,0.0225,1.6408341151012646,1,1.6764150052800284,411160.5417451298,0.909136,0.06,62603.83
1781083298.675,8,0.0225,1.9079561403136183,-1,1.4935188470098395,854931.759346969,1.24739,0.02,62603.83
1781264236.391,8,0.0225,1.8559071871820776,1,1.7075632593085759,854931.759346969,1.24739,0.02,62603.83
1781501247.459,4,0.0225,1.8256209530211716,1,2.100510463976405,411160.5417451298,0.909136,0.22,62603.83
1781501247.499,4,0.0225,1.9161847993284526,1,2.100510463976405,411160.5417451298,0.909136,2.37,62603.83
1781847345.662,4,0.0225,1.8475826899456682,1,1.6772136784602476,411160.5417451298,0.909136,0.27,62603.83
1782097755.888,4,0.0225,1.8441982462752404,1,1.8345522949634232,411160.5417451298,0.909136,0.04,62603.83
1782097755.951,4,0.0225,1.841873959496276,1,1.8345522949634232,411160.5417451298,0.909136,0.75,62603.83
1782098106.636,4,0.0225,1.8416618615101437,1,1.8409416804051766,411160.5417451298,0.909136,0.99,62603.83
1782098106.672,4,0.0225,1.8415051753039127,1,1.8409416804051766,411160.5417451298,0.909136,0.87,62603.83
1782220637.607,4,0.0225,1.7935734355109094,1,1.6133198240427145,411160.5417451298,0.909136,0.01,62603.83
1782222912.3,16,0.0225,0.6106665519984724,-1,0.5854274411006484,8614258.665513504,0.553724,0.01,62603.83
1782253746.362,12,0.0225,0.8266267415268364,1,0.8266267415268364,2314214.833191395,1.054,0.03,62603.83
1782317396.896,8,0.0225,1.7325983500868543,1,1.3441669623088557,854931.759346969,1.24739,0.01,62603.83
