time,option_idx,nu,mid_price,trade_dir,trade_price,z_i,vega_i,qty_actual,S_spot
1777968811.242,16,0.0225,3.0225677941663376,1,3.0225677941663376,8614258.665513504,0.553724,0.02,1872.58
1778159305.978,4,0.0225,4.695126509948841,1,4.695126509948841,411160.5417451298,0.909136,0.5,1872.58
1778205745.086,16,0.0225,2.8287175981800505,-1,2.6701128923730897,8614258.665513504,0.553724,0.02,1872.58
1778228244.244,16,0.0225,2.775693236708719,-1,2.6968140212968206,8614258.665513504,0.553724,0.05,1872.58
1779122258.854,16,0.0225,2.4858010798676764,1,1.8957801535848935,8614258.665513504,0.553724,0.3,1872.58
1779236056.932,4,0.0225,4.101240000427219,1,3.6153328562731635,411160.5417451298,0.909136,0.01,1872.58
1779284161.984,16,0.0225,2.341563869773974,-1,1.9833598564547308,8614258.665513504,0.553724,0.33,1872.58
1779284631.187,16,0.0225,2.251022588472276,1,1.992972262867274,8614258.665513504,0.553724,0.02,1872.58
1779352511.865,16,0.0225,2.2336227663772537,1,2.178812120176441,8614258.665513504,0.553724,0.5,1872.58
1779478152.215,16,0.0225,2.1385380372808385,-1,1.8156767668137008,8614258.665513504,0.553724,0.05,1872.58
1779522390.904,16,0.0225,2.0450577980512508,-1,1.7088722511187773,8614258.665513504,0.553724,0.05,1872.58
1779607913.421,16,0.0225,2.176354474072451,1,2.6701128923730897,8614258.665513504,0.553724,0.03,1872.58
1779791660.987,16,0.0225,2.1205639660311406,1,1.9032564696835381,8614258.665513504,0.553724,0.03,1872.58
1779918042.201,16,0.0225,2.016969368109217,-1,1.6020677354238537,8614258.665513504,0.553724,0.05,1872.58
1779938285.707,0,0.0225,3.4711467600850163,-1,3.4711467600850163,243156.3641315184,0.412252,0.01,1872.58
1780017714.14,0,0.0225,3.097330955152784,1,3.097330955152784,243156.3641315184,0.412252,2.0,1872.58
1780021356.903,0,0.0225,3.105554902861293,-1,3.112283587350073,243156.3641315184,0.412252,1.29,1872.58
1780021356.974,0,0.0225,3.1082597893169157,-1,3.112283587350073,243156.3641315184,0.412252,0.71,1872.58
1780036912.549,0,0.0225,3.376657280911422,1,3.922929861474543,243156.3641315184,0.412252,0.01,1872.58
1780050964.46,16,0.0225,1.9244268409941852,1,1.545461342105544,8614258.665513504,0.553724,0.03,1872.58
1780315867.723,4,0.0225,3.6611807349208085,-1,3.006547116812099,411160.5417451298,0.909136,0.07,1872.58
1780410087.567,16,0.0225,1.8103993738491653,-1,1.3350564461865448,8614258.665513504,0.553724,0.5,1872.58
1780442165.977,16,0.0225,1.6788454493988831,1,1.1225154599536469,8614258.665513504,0.553724,0.37,1872.58
1780447021.046,16,0.0225,1.5811333144945925,1,1.1631011759177179,8614258.665513504,0.553724,0.11,1872.58
1780496755.102,16,0.0225,1.4862680060241211,1,1.0765895182048297,8614258.665513504,0.553724,0.01,1872.58
1780497845.889,16,0.0225,1.4155021349709893,1,1.1075628277563576,8614258.665513504,0.553724,0.02,1872.58
