time,option_idx,nu,mid_price,trade_dir,trade_price,z_i,vega_i,qty_actual,S_spot
1779235266.409,8,0.0225,2.7895442592023496,1,2.7895442592023496,854931.759346969,1.24739,0.01,62770.11
1779892370.805,16,0.0225,1.6727706865576626,-1,1.6727706865576626,8614258.665513504,0.553724,0.01,62770.11
1779940394.546,16,0.0225,1.5851493648808324,-1,1.51345919259979,8614258.665513504,0.553724,0.01,62770.11
1780069071.203,16,0.0225,1.5726611432863606,1,1.5540836235590476,8614258.665513504,0.553724,0.01,62770.11
1780315865.085,8,0.0225,2.7799059138178985,-1,2.7720199948669837,854931.759346969,1.24739,0.01,62770.11
1780622604.059,8,0.0225,2.346372498003659,-1,1.7014467554700796,854931.759346969,1.24739,0.01,62770.11
1780640661.835,8,0.0225,2.069340371910727,-1,1.5054936179018963,854931.759346969,1.24739,0.15,62770.11
1780667493.198,4,0.0225,1.5931149395787263,-1,1.5931149395787263,411160.5417451298,0.909136,0.06,62770.11
1780671436.719,4,0.0225,1.9117379274944715,1,1.9117379274944715,411160.5417451298,0.909136,0.35,62770.11
1780671870.899,16,0.0225,1.2479504201683707,-1,0.5870628552347606,8614258.665513504,0.553724,0.03,62770.11
1780671870.918,16,0.0225,1.0582275747693983,-1,0.5870628552347606,8614258.665513504,0.553724,0.02,62770.11
1780671870.937,16,0.0225,0.9358498222200112,-1,0.5870628552347606,8614258.665513504,0.553724,0.01,62770.11
1780671870.956,16,0.0225,0.8518061742859911,-1,0.5870628552347606,8614258.665513504,0.553724,0.01,62770.11
1780671870.976,16,0.0225,0.7915757933316108,-1,0.5870628552347606,8614258.665513504,0.553724,0.08,62770.11
1780671870.996,16,0.0225,0.7470809347821138,-1,0.5870628552347606,8614258.665513504,0.553724,0.02,62770.11
1780671871.428,16,0.0225,0.713468150663206,-1,0.5870628552347606,8614258.665513504,0.553724,0.03,62770.11
1780671871.451,16,0.0225,0.6876451291188156,-1,0.5870628552347606,8614258.665513504,0.553724,0.02,62770.11
1780671871.472,16,0.0225,0.6675489748827717,-1,0.5870628552347606,8614258.665513504,0.553724,0.01,62770.11
1780671871.513,16,0.0225,0.6517520244617162,-1,0.5870628552347606,8614258.665513504,0.553724,0.03,62770.11
1780671871.553,16,0.0225,0.6392363939114697,-1,0.5870628552347606,8614258.665513504,0.553724,0.03,62770.11
1780671871.576,16,0.0225,0.6292584984748537,-1,0.5870628552347606,8614258.665513504,0.553724,0.01,62770.11
1780671871.639,16,0.0225,0.6212641753254763,-1,0.5870628552347606,8614258.665513504,0.553724,0.37,62770.11
1780671871.658,16,0.0225,0.6148335764272992,-1,0.5870628552347606,8614258.665513504,0.553724,0.53,62770.11
1780672257.656,4,0.0225,1.9117379274944715,-1,1.9117379274944715,411160.5417451298,0.909136,0.16,62770.11
