sim_id,final_pnl,final_Vpi,total_trades
980,195996,-2.9255e+06,31
981,235319,-2.32303e+06,38
982,147087,1.08269e+06,23
983,229827,-1.0966e+06,39
984,220085,-905647,33
985,319433,6.30311e+06,36
986,194974,6.78729e+06,30
987,115213,453984,22
988,296483,2.24018e+06,38
989,122593,168428,22
990,213176,46266.3,35
991,243276,-5.12991e+06,30
992,150521,4.42546e+06,26
993,226884,-279593,32
994,151678,-2.90638e+06,32
995,156595,3.8296e+06,22
996,335778,5.98504e+06,31
997,190305,-2.71842e+06,23
998,174814,-1.20378e+06,27
999,93141,-1.43833e+06,19
