sim_id,final_pnl,final_Vpi,total_trades
226,197972,991702,33
227,150389,-390146,26
228,177660,1.46911e+06,33
229,181475,-2.18318e+06,23
230,212578,2.26883e+06,30
231,110116,1.41992e+06,21
232,174152,666077,35
233,181932,1.14517e+06,33
234,170227,5.79263e+06,27
235,135004,6.46825e+06,20
236,231241,7.72565e+06,35
237,114516,217011,22
238,127945,-595867,23
239,72102.6,94995.6,15
240,223160,2.02734e+06,28
241,175983,-99318.1,30
242,264736,4.77212e+06,31
243,191940,-733221,34
244,164205,-1.82204e+06,26
245,163084,2.63978e+06,28
246,238769,-1.96652e+06,27
247,140552,-3.68048e+06,28
248,111364,1.18341e+06,23
249,142935,235242,28
250,251313,-1.46189e+06,32
251,225282,-5.88852e+06,31
252,294091,3.03989e+06,35
253,173811,-445193,26
254,179366,-4.54047e+06,24
255,163489,3.57813e+06,30
256,190021,2.20568e+06,34
257,187514,1.48975e+06,29
258,152930,-1.31285e+06,31
259,94764.3,-115457,26
260,183202,4.94617e+06,32
261,200823,100706,30
262,202604,205416,35
263,201416,52584,30
264,154746,927385,27
265,294621,-776790,31
266,83812.6,-1.07466e+06,24
267,233225,-815331,32
268,134465,-2.59957e+06,26
269,320751,74918,44
270,165879,1.14979e+06,33
271,205267,4.88099e+06,30
272,232919,-120655,37
273,178540,1.81399e+06,23
274,158673,3.12856e+06,24
275,137170,-614812,23
276,153943,-599022,32
277,158077,-1.97632e+06,28
278,223620,-796979,42
279,158491,-3.48152e+06,27
280,135808,1.57422e+06,23
281,218599,-1.36758e+06,38
282,97179.2,-1.7055e+06,22
283,155049,577993,27
284,139179,2.45654e+06,27
285,202478,-3.40099e+06,34
286,267886,-3.58523e+06,32
287,188975,1.59135e+06,32
288,215140,-855641,37
289,147138,-540216,31
290,214793,-3.31975e+06,34
291,106905,444577,21
292,162416,-1.02723e+06,33
293,191390,-1.70101e+06,24
294,256388,7.29388e+06,35
295,218009,1.64085e+06,31
296,162832,1.08378e+06,28
297,274706,594507,43
298,208522,-1.81891e+06,30
299,131209,4.24578e+06,19
300,200969,6.14464e+06,27
301,285437,2.58509e+06,38
302,132719,-784821,24
303,189392,3.66732e+06,33
304,172459,2.28082e+06,31
305,106399,2.27423e+06,25
306,154404,-3.84213e+06,31
307,198443,3.26971e+06,31
308,149117,4.88973e+06,25
309,144465,-5.86326e+06,31
310,102302,493158,23
311,136931,2.06299e+06,27
312,256755,1.16703e+06,43
313,303778,-521244,39
314,137109,1.70075e+06,25
315,240279,-7.34708e+06,31
316,163862,7.27243e+06,25
317,137901,-2.16822e+06,33
318,184008,5.21742e+06,25
319,170996,78889.5,29
320,180745,-745825,32
321,152174,-300329,21
322,278273,3.49997e+06,34
323,159819,1.06279e+06,31
324,126075,2.78867e+06,28
325,200012,-4.78585e+06,29
326,166617,568245,31
327,243527,-2.77877e+06,34
328,125948,-372196,25
329,175302,764397,20
330,101747,-848358,21
331,148254,-486112,30
332,96115,-1.46599e+06,16
333,198102,-4.00618e+06,42
334,246128,3.31693e+06,38
335,109878,2.11833e+06,26
336,149082,-1.69679e+06,32
337,95147.9,1.19744e+06,25
338,160933,-6614.81,30
339,135994,164845,21
340,165705,453019,31
341,121782,94153,30
342,214465,-1.07344e+06,31
343,187710,-1.71003e+06,26
344,226965,1.4354e+06,27
345,293999,1.0563e+06,33
346,261380,-5.49685e+06,26
347,119220,-1.40702e+06,30
348,247989,991159,43
349,102306,1.92191e+06,24
350,216214,1.7201e+06,35
351,208736,-3.83172e+06,36
352,50501.1,776279,16
353,244776,-1.58679e+06,28
354,164254,-4.51261e+06,30
355,342378,-464848,33
356,150917,972322,28
357,270388,-2.25054e+06,34
