nu,Vpi,v
0.0168828,-8.46154e+06,94823.8
0.0168828,-7.94872e+06,104124
0.0168828,-7.4359e+06,112815
0.0168828,-6.92308e+06,120847
0.0168828,-6.41026e+06,128319
0.0168828,-5.89744e+06,135223
0.0168828,-5.38462e+06,141539
0.0168828,-4.87179e+06,147287
0.0168828,-4.35897e+06,152423
0.0168828,-3.84615e+06,157093
0.0168828,-3.33333e+06,161156
0.0168828,-2.82051e+06,164608
0.0168828,-2.30769e+06,167459
0.0168828,-1.79487e+06,169744
0.0168828,-1.28205e+06,171479
0.0168828,-769231,172624
0.0168828,-256410,173178
0.0168828,256410,173192
0.0168828,769231,172661
0.0168828,1.28205e+06,171543
0.0168828,1.79487e+06,169833
0.0168828,2.30769e+06,167572
0.0168828,2.82051e+06,164748
0.0168828,3.33333e+06,161321
0.0168828,3.84615e+06,157286
0.0168828,4.35897e+06,152641
0.0168828,4.87179e+06,147526
0.0168828,5.38462e+06,141803
0.0168828,5.89744e+06,135514
0.0168828,6.41026e+06,128637
0.0168828,6.92308e+06,121189
0.0168828,7.4359e+06,113183
0.0168828,7.94872e+06,104520
0.0168828,8.46154e+06,95247.5
0.0168828,8.97436e+06,85373.6
0.0168828,9.48718e+06,74932.9
0.0168828,1e+07,63899.9
0.0175034,-1e+07,63400.8
0.0175034,-9.48718e+06,74459.9
0.0175034,-8.97436e+06,84926.7
0.0175034,-8.46154e+06,94823.2
0.0175034,-7.94872e+06,104124
0.0175034,-7.4359e+06,112815
0.0175034,-6.92308e+06,120847
0.0175034,-6.41026e+06,128318
0.0175034,-5.89744e+06,135223
0.0175034,-5.38462e+06,141539
0.0175034,-4.87179e+06,147287
0.0175034,-4.35897e+06,152423
0.0175034,-3.84615e+06,157093
0.0175034,-3.33333e+06,161156
0.0175034,-2.82051e+06,164608
0.0175034,-2.30769e+06,167459
0.0175034,-1.79487e+06,169744
0.0175034,-1.28205e+06,171479
0.0175034,-769231,172623
0.0175034,-256410,173178
0.0175034,256410,173192
0.0175034,769231,172661
0.0175034,1.28205e+06,171543
0.0175034,1.79487e+06,169833
0.0175034,2.30769e+06,167573
0.0175034,2.82051e+06,164748
0.0175034,3.33333e+06,161321
0.0175034,3.84615e+06,157286
0.0175034,4.35897e+06,152642
0.0175034,4.87179e+06,147527
0.0175034,5.38462e+06,141804
0.0175034,5.89744e+06,135514
0.0175034,6.41026e+06,128637
0.0175034,6.92308e+06,121190
0.0175034,7.4359e+06,113184
0.0175034,7.94872e+06,104520
0.0175034,8.46154e+06,95248.1
0.0175034,8.97436e+06,85374.3
0.0175034,9.48718e+06,74933.6
0.0175034,1e+07,63900.6
0.0181241,-1e+07,63400.1
0.0181241,-9.48718e+06,74459.2
0.0181241,-8.97436e+06,84926
0.0181241,-8.46154e+06,94822.6
0.0181241,-7.94872e+06,104123
0.0181241,-7.4359e+06,112814
0.0181241,-6.92308e+06,120846
0.0181241,-6.41026e+06,128318
0.0181241,-5.89744e+06,135222
0.0181241,-5.38462e+06,141538
0.0181241,-4.87179e+06,147287
0.0181241,-4.35897e+06,152423
0.0181241,-3.84615e+06,157092
0.0181241,-3.33333e+06,161155
0.0181241,-2.82051e+06,164608
0.0181241,-2.30769e+06,167458
0.0181241,-1.79487e+06,169744
0.0181241,-1.28205e+06,171479
0.0181241,-769231,172623
0.0181241,-256410,173178
0.0181241,256410,173192
0.0181241,769231,172661
0.0181241,1.28205e+06,171543
0.0181241,1.79487e+06,169833
0.0181241,2.30769e+06,167573
0.0181241,2.82051e+06,164748
0.0181241,3.33333e+06,161322
0.0181241,3.84615e+06,157286
0.0181241,4.35897e+06,152642
0.0181241,4.87179e+06,147527
0.0181241,5.38462e+06,141804
0.0181241,5.89744e+06,135515
0.0181241,6.41026e+06,128638
0.0181241,6.92308e+06,121190
0.0181241,7.4359e+06,113184
0.0181241,7.94872e+06,104521
