nu,Vpi,v
0.0268138,-2.30769e+06,167455
0.0268138,-1.79487e+06,169741
0.0268138,-1.28205e+06,171477
0.0268138,-769231,172622
0.0268138,-256410,173178
0.0268138,256410,173192
0.0268138,769231,172662
0.0268138,1.28205e+06,171545
0.0268138,1.79487e+06,169836
0.0268138,2.30769e+06,167576
0.0268138,2.82051e+06,164752
0.0268138,3.33333e+06,161326
0.0268138,3.84615e+06,157292
0.0268138,4.35897e+06,152648
0.0268138,4.87179e+06,147534
0.0268138,5.38462e+06,141811
0.0268138,5.89744e+06,135523
0.0268138,6.41026e+06,128647
0.0268138,6.92308e+06,121200
0.0268138,7.4359e+06,113194
0.0268138,7.94872e+06,104532
0.0268138,8.46154e+06,95260.6
0.0268138,8.97436e+06,85387.5
0.0268138,9.48718e+06,74947.5
0.0268138,1e+07,63915.3
0.0274345,-1e+07,63385.1
0.0274345,-9.48718e+06,74445
0.0274345,-8.97436e+06,84912.6
0.0274345,-8.46154e+06,94809.9
0.0274345,-7.94872e+06,104111
0.0274345,-7.4359e+06,112803
0.0274345,-6.92308e+06,120836
0.0274345,-6.41026e+06,128308
0.0274345,-5.89744e+06,135214
0.0274345,-5.38462e+06,141530
0.0274345,-4.87179e+06,147279
0.0274345,-4.35897e+06,152416
0.0274345,-3.84615e+06,157086
0.0274345,-3.33333e+06,161150
0.0274345,-2.82051e+06,164604
0.0274345,-2.30769e+06,167455
0.0274345,-1.79487e+06,169741
0.0274345,-1.28205e+06,171477
0.0274345,-769231,172622
0.0274345,-256410,173178
0.0274345,256410,173192
0.0274345,769231,172662
0.0274345,1.28205e+06,171545
0.0274345,1.79487e+06,169836
0.0274345,2.30769e+06,167576
0.0274345,2.82051e+06,164752
0.0274345,3.33333e+06,161327
0.0274345,3.84615e+06,157292
0.0274345,4.35897e+06,152649
0.0274345,4.87179e+06,147534
0.0274345,5.38462e+06,141812
0.0274345,5.89744e+06,135523
0.0274345,6.41026e+06,128647
0.0274345,6.92308e+06,121201
0.0274345,7.4359e+06,113195
0.0274345,7.94872e+06,104533
0.0274345,8.46154e+06,95261.6
0.0274345,8.97436e+06,85388.5
0.0274345,9.48718e+06,74948.6
0.0274345,1e+07,63916.5
0.0280552,-1e+07,63384
0.0280552,-9.48718e+06,74443.9
0.0280552,-8.97436e+06,84911.6
0.0280552,-8.46154e+06,94808.9
0.0280552,-7.94872e+06,104111
0.0280552,-7.4359e+06,112802
0.0280552,-6.92308e+06,120835
0.0280552,-6.41026e+06,128308
0.0280552,-5.89744e+06,135213
0.0280552,-5.38462e+06,141530
0.0280552,-4.87179e+06,147279
0.0280552,-4.35897e+06,152416
0.0280552,-3.84615e+06,157086
0.0280552,-3.33333e+06,161150
0.0280552,-2.82051e+06,164603
0.0280552,-2.30769e+06,167455
0.0280552,-1.79487e+06,169741
0.0280552,-1.28205e+06,171477
0.0280552,-769231,172622
0.0280552,-256410,173178
0.0280552,256410,173193
0.0280552,769231,172662
0.0280552,1.28205e+06,171546
0.0280552,1.79487e+06,169836
0.0280552,2.30769e+06,167576
0.0280552,2.82051e+06,164753
0.0280552,3.33333e+06,161327
0.0280552,3.84615e+06,157292
0.0280552,4.35897e+06,152649
0.0280552,4.87179e+06,147535
0.0280552,5.38462e+06,141813
0.0280552,5.89744e+06,135524
0.0280552,6.41026e+06,128648
0.0280552,6.92308e+06,121201
0.0280552,7.4359e+06,113196
0.0280552,7.94872e+06,104534
0.0280552,8.46154e+06,95262.6
0.0280552,8.97436e+06,85389.5
0.0280552,9.48718e+06,74949.7
0.0280552,1e+07,63917.6
0.0286759,-1e+07,63382.9
0.0286759,-9.48718e+06,74442.9
0.0286759,-8.97436e+06,84910.6
0.0286759,-8.46154e+06,94807.9
0.0286759,-7.94872e+06,104110
0.0286759,-7.4359e+06,112801
0.0286759,-6.92308e+06,120835
0.0286759,-6.41026e+06,128307
0.0286759,-5.89744e+06,135212
0.0286759,-5.38462e+06,141529
0.0286759,-4.87179e+06,147278
0.0286759,-4.35897e+06,152415
0.0286759,-3.84615e+06,157086
0.0286759,-3.33333e+06,161150
0.0286759,-2.82051e+06,164603
0.0286759,-2.30769e+06,167455
0.0286759,-1.79487e+06,169741
0.0286759,-1.28205e+06,171477
0.0286759,-769231,172622
0.0286759,-256410,173178
0.0286759,256410,173193
0.0286759,769231,172662
0.0286759,1.28205e+06,171546
0.0286759,1.79487e+06,169836
0.0286759,2.30769e+06,167577
0.0286759,2.82051e+06,164753
0.0286759,3.33333e+06,161328
0.0286759,3.84615e+06,157293
0.0286759,4.35897e+06,152650
0.0286759,4.87179e+06,147535
0.0286759,5.38462e+06,141813
0.0286759,5.89744e+06,135525
0.0286759,6.41026e+06,128649
0.0286759,6.92308e+06,121202
0.0286759,7.4359e+06,113197
0.0286759,7.94872e+06,104535
0.0286759,8.46154e+06,95263.5
0.0286759,8.97436e+06,85390.5
0.0286759,9.48718e+06,74950.7
0.0286759,1e+07,63918.7
0.0292966,-1e+07,63381.7
0.0292966,-9.48718e+06,74441.8
0.0292966,-8.97436e+06,84909.6
0.0292966,-8.46154e+06,94807
0.0292966,-7.94872e+06,104109
0.0292966,-7.4359e+06,112801
0.0292966,-6.92308e+06,120834
0.0292966,-6.41026e+06,128306
0.0292966,-5.89744e+06,135212
0.0292966,-5.38462e+06,141529
0.0292966,-4.87179e+06,147278
0.0292966,-4.35897e+06,152415
0.0292966,-3.84615e+06,157085
0.0292966,-3.33333e+06,161149
0.0292966,-2.82051e+06,164603
0.0292966,-2.30769e+06,167454
0.0292966,-1.79487e+06,169740
0.0292966,-1.28205e+06,171477
0.0292966,-769231,172622
0.0292966,-256410,173178
0.0292966,256410,173193
0.0292966,769231,172662
0.0292966,1.28205e+06,171546
0.0292966,1.79487e+06,169837
0.0292966,2.30769e+06,167577
0.0292966,2.82051e+06,164753
0.0292966,3.33333e+06,161328
0.0292966,3.84615e+06,157293
0.0292966,4.35897e+06,152650
0.0292966,4.87179e+06,147536
0.0292966,5.38462e+06,141814
0.0292966,5.89744e+06,135525
0.0292966,6.41026e+06,128650
0.0292966,6.92308e+06,121203
0.0292966,7.4359e+06,113198
0.0292966,7.94872e+06,104536
0.0292966,8.46154e+06,95264.5
0.0292966,8.97436e+06,85391.5
0.0292966,9.48718e+06,74951.8
0.0292966,1e+07,63919.9
0.0299172,-1e+07,63380.6
0.0299172,-9.48718e+06,74440.7
0.0299172,-8.97436e+06,84908.6
0.0299172,-8.46154e+06,94806
0.0299172,-7.94872e+06,104108
0.0299172,-7.4359e+06,112800
0.0299172,-6.92308e+06,120833
0.0299172,-6.41026e+06,128306
0.0299172,-5.89744e+06,135211
0.0299172,-5.38462e+06,141528
0.0299172,-4.87179e+06,147277
0.0299172,-4.35897e+06,152414
0.0299172,-3.84615e+06,157085
0.0299172,-3.33333e+06,161149
0.0299172,-2.82051e+06,164602
0.0299172,-2.30769e+06,167454
0.0299172,-1.79487e+06,169740
0.0299172,-1.28205e+06,171476
0.0299172,-769231,172622
0.0299172,-256410,173178
0.0299172,256410,173193
0.0299172,769231,172662
0.0299172,1.28205e+06,171546
0.0299172,1.79487e+06,169837
0.0299172,2.30769e+06,167577
0.0299172,2.82051e+06,164754
0.0299172,3.33333e+06,161328
0.0299172,3.84615e+06,157294
0.0299172,4.35897e+06,152651
0.0299172,4.87179e+06,147537
0.0299172,5.38462e+06,141814
0.0299172,5.89744e+06,135526
0.0299172,6.41026e+06,128650
0.0299172,6.92308e+06,121204
0.0299172,7.4359e+06,113199
0.0299172,7.94872e+06,104537
0.0299172,8.46154e+06,95265.5
0.0299172,8.97436e+06,85392.6
0.0299172,9.48718e+06,74952.9
0.0299172,1e+07,63921
0.0305379,-1e+07,63379.4
0.0305379,-9.48718e+06,74439.6
0.0305379,-8.97436e+06,84907.5
0.0305379,-8.46154e+06,94805
0.0305379,-7.94872e+06,104107
0.0305379,-7.4359e+06,112799
0.0305379,-6.92308e+06,120832
0.0305379,-6.41026e+06,128305
0.0305379,-5.89744e+06,135210
0.0305379,-5.38462e+06,141527
0.0305379,-4.87179e+06,147277
0.0305379,-4.35897e+06,152414
0.0305379,-3.84615e+06,157084
0.0305379,-3.33333e+06,161149
0.0305379,-2.82051e+06,164602
0.0305379,-2.30769e+06,167454
0.0305379,-1.79487e+06,169740
0.0305379,-1.28205e+06,171476
0.0305379,-769231,172622
0.0305379,-256410,173178
0.0305379,256410,173193
0.0305379,769231,172663
0.0305379,1.28205e+06,171546
0.0305379,1.79487e+06,169837
0.0305379,2.30769e+06,167578
0.0305379,2.82051e+06,164754
0.0305379,3.33333e+06,161329
0.0305379,3.84615e+06,157294
0.0305379,4.35897e+06,152651
0.0305379,4.87179e+06,147537
0.0305379,5.38462e+06,141815
0.0305379,5.89744e+06,135527
0.0305379,6.41026e+06,128651
0.0305379,6.92308e+06,121205
0.0305379,7.4359e+06,113200
0.0305379,7.94872e+06,104537
0.0305379,8.46154e+06,95266.5
0.0305379,8.97436e+06,85393.6
0.0305379,9.48718e+06,74954
0.0305379,1e+07,63922.2
0.0311586,-1e+07,63378.3
0.0311586,-9.48718e+06,74438.5
0.0311586,-8.97436e+06,84906.5
0.0311586,-8.46154e+06,94804.1
0.0311586,-7.94872e+06,104106
0.0311586,-7.4359e+06,112798
0.0311586,-6.92308e+06,120832
0.0311586,-6.41026e+06,128304
0.0311586,-5.89744e+06,135210
0.0311586,-5.38462e+06,141527
0.0311586,-4.87179e+06,147276
0.0311586,-4.35897e+06,152413
0.0311586,-3.84615e+06,157084
0.0311586,-3.33333e+06,161148
0.0311586,-2.82051e+06,164602
0.0311586,-2.30769e+06,167454
0.0311586,-1.79487e+06,169740
0.0311586,-1.28205e+06,171476
0.0311586,-769231,172622
0.0311586,-256410,173178
0.0311586,256410,173193
0.0311586,769231,172663
0.0311586,1.28205e+06,171546
0.0311586,1.79487e+06,169837
0.0311586,2.30769e+06,167578
0.0311586,2.82051e+06,164754
0.0311586,3.33333e+06,161329
0.0311586,3.84615e+06,157295
0.0311586,4.35897e+06,152652
0.0311586,4.87179e+06,147538
0.0311586,5.38462e+06,141816
0.0311586,5.89744e+06,135527
0.0311586,6.41026e+06,128652
0.0311586,6.92308e+06,121205
0.0311586,7.4359e+06,113200
0.0311586,7.94872e+06,104538
0.0311586,8.46154e+06,95267.5
0.0311586,8.97436e+06,85394.7
0.0311586,9.48718e+06,74955.1
0.0311586,1e+07,63923.4
0.0317793,-1e+07,63377.1
0.0317793,-9.48718e+06,74437.4
0.0317793,-8.97436e+06,84905.5
0.0317793,-8.46154e+06,94803.1
0.0317793,-7.94872e+06,104105
0.0317793,-7.4359e+06,112797
0.0317793,-6.92308e+06,120831
0.0317793,-6.41026e+06,128303
0.0317793,-5.89744e+06,135209
0.0317793,-5.38462e+06,141526
0.0317793,-4.87179e+06,147276
0.0317793,-4.35897e+06,152413
0.0317793,-3.84615e+06,157083
0.0317793,-3.33333e+06,161148
0.0317793,-2.82051e+06,164601
0.0317793,-2.30769e+06,167453
0.0317793,-1.79487e+06,169740
0.0317793,-1.28205e+06,171476
0.0317793,-769231,172622
0.0317793,-256410,173178
0.0317793,256410,173193
0.0317793,769231,172663
0.0317793,1.28205e+06,171546
0.0317793,1.79487e+06,169837
0.0317793,2.30769e+06,167578
0.0317793,2.82051e+06,164755
0.0317793,3.33333e+06,161329
0.0317793,3.84615e+06,157295
0.0317793,4.35897e+06,152652
0.0317793,4.87179e+06,147538
0.0317793,5.38462e+06,141816
0.0317793,5.89744e+06,135528
0.0317793,6.41026e+06,128653
0.0317793,6.92308e+06,121206
0.0317793,7.4359e+06,113201
0.0317793,7.94872e+06,104539
0.0317793,8.46154e+06,95268.5
0.0317793,8.97436e+06,85395.7
0.0317793,9.48718e+06,74956.2
0.0317793,1e+07,63924.5
0.0324,-1e+07,63376
0.0324,-9.48718e+06,74436.3
0.0324,-8.97436e+06,84904.4
0.0324,-8.46154e+06,94802.1
0.0324,-7.94872e+06,104104
0.0324,-7.4359e+06,112796
0.0324,-6.92308e+06,120830
0.0324,-6.41026e+06,128303
0.0324,-5.89744e+06,135208
0.0324,-5.38462e+06,141526
0.0324,-4.87179e+06,147275
0.0324,-4.35897e+06,152412
0.0324,-3.84615e+06,157083
0.0324,-3.33333e+06,161147
0.0324,-2.82051e+06,164601
0.0324,-2.30769e+06,167453
0.0324,-1.79487e+06,169739
0.0324,-1.28205e+06,171476
0.0324,-769231,172622
0.0324,-256410,173178
0.0324,256410,173193
0.0324,769231,172663
0.0324,1.28205e+06,171547
0.0324,1.79487e+06,169838
0.0324,2.30769e+06,167578
0.0324,2.82051e+06,164755
0.0324,3.33333e+06,161330
0.0324,3.84615e+06,157296
0.0324,4.35897e+06,152653
0.0324,4.87179e+06,147539
0.0324,5.38462e+06,141817
0.0324,5.89744e+06,135529
0.0324,6.41026e+06,128653
0.0324,6.92308e+06,121207
0.0324,7.4359e+06,113202
0.0324,7.94872e+06,104540
0.0324,8.46154e+06,95269.5
0.0324,8.97436e+06,85396.8
0.0324,9.48718e+06,74957.3
0.0324,1e+07,63925.7
